status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
310039442421596_947979968627537,"This morning Deputy Leader Alex Rowley spoke to a business audience in Fife about a modern Labour vision for the future. Alex also called for action to tackle Scotland's housing crisis.

Catch up on what he said here:
http://www.scottishlabour.org.uk/blog/entry/we-should-strive-not-just-for-full-employment-but-good-employment",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/947979968627537/?type=3,2015-12-02 12:57:44,25,33,3,25,0,0,0,0,0
310039442421596_947442318681302,"Are cold callers a problem for you and your family?

New figures reveal that 9 out of 10 Scots find nuisance calls a problem. It's time for the SNP Government to take action.

Find out more here:",It's time to tackle nuisance calls,link,http://www.scottishlabour.org.uk/blog/entry/its-time-to-tackle-nuisance-calls,2015-12-01 07:26:19,31,44,24,31,0,0,0,0,0
310039442421596_946956952063172,"""What better way to mark our patron saint's day than by focusing on the future of our nation? Because the life chances of the children in that nursery, and the children right across the country, is my priority. My goal is to create a Scotland where the life chances of young people are determined by their potential, work rate and ambition, rather than by how much money their parents earn.""

Kez writes her Daily Record column on St Andrew's Day this week.

Read it here:
http://www.scottishlabour.org.uk/blog/entry/ill-use-new-tax-powers-to-give-every-kid-a-fair-start",Photos from Scottish Labour Party's post,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/946956625396538/?type=3,2015-11-30 05:35:30,34,28,6,34,0,0,0,0,0
310039442421596_946601258765408,"""Scotland's colleges should be the envy of the world. Everyone, regardless of postcode or privilege, should be able to access the skills they need to get on in life. But the SNP's record on colleges has been shambolic.""

That's what Public Services Spokesperson Jackie Baillie had to say after it was revealed that more than £90 million has been spent on redundancies for 3,500 college staff under the SNP Government.

Find out more:
http://www.scottishlabour.org.uk/blog/entry/revealed-90m-cost-of-college-pay-offs-under-snp",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/946601258765408/?type=3,2015-11-29 09:05:39,97,30,55,97,0,0,0,0,0
310039442421596_946202872138580,"Today Kez attended the STUC's anti-racism march with the clear message that we must extend the hand of friendship to those refugees arriving here from Syria.

Find out what it meant to her here:
http://www.scottishlabour.org.uk/blog/entry/kez-at-the-stuc-st.-andrews-day-march",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/946202872138580/?type=3,2015-11-28 11:04:04,52,20,26,52,0,0,0,0,0
310039442421596_945754888850045,"ICYMI - catch up on the week just passed 
→ The SNP's claims on oil revenue
→ The Spending Review
→ CalMac

http://www.scottishlabour.org.uk/blog/entry/icymi-oil-the-spe",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/945754888850045/?type=3,2015-11-27 10:07:31,17,22,6,17,0,0,0,0,0
310039442421596_945243562234511,"New figures from the impartial Office of Budget Responsibility reveal that the SNP's oil calculations were out by more than 6,000%. With huge tax and spending powers coming to Scotland our government cannot afford to get our finances so wrong. 

The Scottish Parliament needs independent oversight of government finances. That's what Scottish Labour is calling for. 

Find out more: 
http://www.scottishlabour.org.uk/blog/entry/weve-been-mislead-on-oil",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/945243562234511/?type=3,2015-11-26 11:08:22,99,53,52,99,0,0,0,0,0
310039442421596_945110538914480,"Kez's visit to the Dalzell steel plant is covered in today's papers. Kez has said that our steel industry can have a bright future, but it needs urgent government support.

Read about it in the Evening Times: 
http://m.eveningtimes.co.uk/news/14101520.Scottish_Labour_leader_Kezia_Dugdale_calls_for_action_to_save_steel_plants/",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/945110538914480/?type=3,2015-11-26 04:55:44,21,13,4,21,0,0,0,0,0
310039442421596_944857755606425,"CalMac ferry services are vital to people living in Scotland's island communities. Today in Scottish Parliament Scottish Labour MSPs called on the SNP to keep these ferry services in public hands. 

When the Northern Isles routes were handed to a private company services were cut and staff were sacked. We can't let this happen again.

Today, the SNP voted against us and in doing so refused to halt the privatisation process.

They have betrayed our island communities. 

Find out more:
http://www.scottishlabour.org.uk/page/s/keep-calmac-ferries-in-public-hands",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/944857755606425/?type=3,2015-11-25 12:19:54,72,25,32,72,0,0,0,0,0
310039442421596_944820098943524,"George Osborne's u-turn on tax credits today is a significant victory for Labour and shows that our campaign worked.

We need to look carefully at the detail, in particular the impact on Universal Credit, but with this announcement working families can sleep easier tonight. 

Today's u-turn shows the difference Labour can make, even from opposition. We want to thank the Scottish Labour activists who've campaigned so hard on this issue. Today we've learn that while the SNP talks, the Labour Party acts to help working people across the country.",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/944820098943524/?type=3,2015-11-25 10:41:05,230,199,181,230,0,0,0,0,0
310039442421596_944708892287978,"The Scottish steel industry can have a bright future but it needs urgent government support.

Today Kezia Dugdale met steel workers at the Dalzell plant in Motherwell, and this is what she had to say:

""This industry can have a bright future with the right support from government. Steel workers are highly skilled and make a valuable contribution to our communities. These skills and good quality jobs cannot be allowed to disappear from communities in Lanarkshire and across Scotland. 

""Nicola Sturgeon came to this plant a few weeks ago and promised steel workers that she would do everything possible to save their jobs. The clock is ticking and it's time the government delivered on these promises.""",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/944708892287978/?type=3,2015-11-25 06:02:30,48,20,11,48,0,0,0,0,0
310039442421596_943973385694862,"We've announced a Fair Start Fund for Scotland's poorest pupils, funded by a 50p top rate of tax for those earning more than £150,000 a year. In a different approach for Scottish schools, we will give the funding directly to the people who know best how to run schools - head teachers.

Public Services and Wealth Creation Spokesperson Jackie Baillie writes for Rattle about how Scottish Labour will make Scotland's economy fit for the future by tackling women in STEM and the attainment gap between the richest and the rest.

Read Jackie Baillie's article here:",Labour's bold move for women and children,link,http://www.scottishlabour.org.uk/blog/entry/labours-bold-move-for-women-and-children,2015-11-23 11:19:41,89,40,20,89,0,0,0,0,0
310039442421596_943871815705019,"""Tax credits are one of the top achievements of the last Labour Government. They lifted many people out of poverty and extended a helping hand to millions more. They represent the best of what Britain's welfare state has to offer.""

In Kez's Daily Record column today she says it's time for less talk and more action on saving tax credits. Kez also writes about CalMac ferries, funding Scotland's education and the need for a cancer strategy. 

Read it here:
http://www.scottishlabour.org.uk/blog/entry/less-talk-more-action-on-saving-tax-credits",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/943871815705019/?type=3,2015-11-23 06:03:21,31,22,10,31,0,0,0,0,0
310039442421596_942669762491891,"ICYMI: as the week comes to a close, catch up on some of what happened. 

http://www.scottishlabour.org.uk/blog/entry/icymi-heres-what-happened-this-week",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/942669762491891/?type=3,2015-11-22 13:14:02,19,11,2,19,0,0,0,0,0
310039442421596_943000469125487,"Earlier this year, eight Labour-led councils worked together in developing, securing and delivering the Glasgow and Clyde Valley City Deal. 

This is Scotland's first City Deal and the largest of its kind in the UK. 

Find out more: http://www.scottishlabour.org.uk/blog/entry/the-glasgow-and-clyde-valley-city-deal",The Glasgow and Clyde Valley City Deal,link,http://www.scottishlabour.org.uk/blog/entry/the-glasgow-and-clyde-valley-city-deal,2015-11-21 13:00:04,36,15,9,36,0,0,0,0,0
310039442421596_942669112491956,"The First Minister has been a minister for 8yrs, FM for 1, in charge of our NHS for 5. It's time for bold action.

http://www.scottishlabour.org.uk/blog/entry/cancer-could-become-a-deprivation-disease",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/942669112491956/?type=3,2015-11-21 05:00:02,23,9,12,23,0,0,0,0,0
310039442421596_942213042537563,"New statistics published this week showed that people living in poorer areas are more likely to get, and die from, cancer than those in richer areas. 

At FMQs Kez called on the SNP Government to publish their much-delayed cancer strategy.

Find out more →
http://www.scottishlabour.org.uk/blog/entry/cancer-could-become-a-deprivation-disease",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/942213042537563/?type=3,2015-11-19 09:34:12,57,35,23,57,0,0,0,0,0
310039442421596_941795885912612,"Yesterday in the Scottish Parliament, Kez offered her condolences to the people of Paris and said we can't let the terrorists win by changing our values. You can watch the speech here.",,video,https://www.facebook.com/ScottishLabourParty/videos/941795885912612/,2015-11-18 12:04:54,73,17,10,73,0,0,0,0,0
310039442421596_941719445920256,"Figures collated by Friends of the Earth Scotland suggest that more than 3,500 people in Scotland die early because of exposure to toxic emissions.

36 areas across Scotland have dangerously high levels of pollution.

Our Environmental Justice Spokesperson Sarah Boyack MSP is taking the issue to Holyrood today, hightlighting the SNP Government's lack of progress on tackling dangerous air pollution levels.

Sarah's motion, 'Air Pollution in Scotland', has gained cross party support from Green, Lib Dem, Independent and SNP MSPs and will be debated before Parliament today at Holyrood. 

Speaking ahead of the debate, she said:

""Each year of inaction will see up to 3500 Scots each die from respiratory and coronary diseases as a result. Air quality is not just an environmental priority, it is a moral and public health issue which the SNP Government is failing on.

""This debate comes just weeks after the SNP Government's Cleaner Air Strategy paid lip service to the problem and kicked the issue into the long grass. They want to take 3 years to 'redesign the wheel' while they mull over the implementation of Low Emissions Zones.

""With thousands of potential deaths caused by its inaction, today I'll call on the SNP Government to conduct a Health Impact Assessment of its strategy.  

""Scotland and the UK are lagging behind Europe and Asia on Low Emissions Zones, selling Dennis' electric buses to the Chinese, while Minsters take chauffeur driven journeys up the Royal Mile.

""Today, we are calling on the SNP to conduct a Health Impact Assessment of its air pollution strategy. On APD, on climate change and now on air quality this government is showing time and again it is failing to live up to its clean and green mantra.""

http://www.scottishlabour.org.uk/blog/entry/the-snp-is-failing-scots-on-air-quality-deaths",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/941719445920256/?type=3,2015-11-18 05:14:54,29,14,11,29,0,0,0,0,0
